"","gene_id","gene_name","gene_length"
"21435","ENSMUSG00000001270","Ckb",2895
"21471","ENSMUSG00000001280","Sp1",8262
"21540","ENSMUSG00000001281","Itgb7",2770
"21606","ENSMUSG00000001285","Myg1",2823
"21684","ENSMUSG00000001288","Rarg",4261
"21766","ENSMUSG00000001289","Pfdn5",1394
"21861","ENSMUSG00000001300","Efnb2",6855
"21886","ENSMUSG00000001305","Rrp15",3239
"21907","ENSMUSG00000001313","Rnd2",1990
"21936","ENSMUSG00000001323","Srr",4560
"22085","ENSMUSG00000001333","Sync",2862
"22105","ENSMUSG00000001334","Fndc5",2763
"22123","ENSMUSG00000001348","Acp5",2030
"22199","ENSMUSG00000001349","Cnn1",2736
"22270","ENSMUSG00000001366","Fbxo9",3103
"22370","ENSMUSG00000001376","Vps50",10856
"22599","ENSMUSG00000001380","Hars",2447
"22662","ENSMUSG00000001383","Zmat2",2592
"22684","ENSMUSG00000001403","Ube2c",2600
"22719","ENSMUSG00000001415","Smg5",6956
"22836","ENSMUSG00000001416","Cct3",6370
"22995","ENSMUSG00000001418","Glmp",6291
"23082","ENSMUSG00000001419","Mef2d",5985
"23201","ENSMUSG00000001420","Tmem79",2912
"23248","ENSMUSG00000001424","Snd1",9757
"23425","ENSMUSG00000001435","Col18a1",7021
"23714","ENSMUSG00000001436","Slc19a1",4644
"23812","ENSMUSG00000001440","Kpnb1",6590
"23870","ENSMUSG00000001441","Npepps",7206
"24197","ENSMUSG00000001444","Tbx21",2488
"24215","ENSMUSG00000001445","Mrpl10",1708
"24246","ENSMUSG00000001467","Cyp51",4415
"24288","ENSMUSG00000001472","Tcf25",5390
"24563","ENSMUSG00000001473","Tubb6",2437
"24580","ENSMUSG00000001482","Def8",4408
"24808","ENSMUSG00000001493","Meox1",2228
"24820","ENSMUSG00000001494","Sost",2066
"24830","ENSMUSG00000001496","Nkx2-1",2842
"24851","ENSMUSG00000001497","Pax9",5056
"24884","ENSMUSG00000001504","Irx2",3282
"24920","ENSMUSG00000001506","Col1a1",6563
"25038","ENSMUSG00000001507","Itga3",5710
"25231","ENSMUSG00000001508","Sgca",1735
"25331","ENSMUSG00000001510","Dlx3",2607
"25343","ENSMUSG00000001517","Foxm1",5754
"25423","ENSMUSG00000001518","Itfg2",7096
"25563","ENSMUSG00000001520","Nrip2",3757
"25650","ENSMUSG00000001521","Tulp3",9342
"25710","ENSMUSG00000001524","Gtf2h4",3313
"25872","ENSMUSG00000001525","Tubb5",3327
"25902","ENSMUSG00000001542","Ell2",9828
"26009","ENSMUSG00000001552","Jup",6436
"26099","ENSMUSG00000001555","Fkbp10",2935
"26167","ENSMUSG00000001558","Klhl10",2161
"26192","ENSMUSG00000001566","Mnx1",2250
"26215","ENSMUSG00000001569","Nom1",9232
"26248","ENSMUSG00000001576","Ergic1",8888
"26531","ENSMUSG00000001583","Tnk1",3329
"26643","ENSMUSG00000001588","Acap1",4878
"26722","ENSMUSG00000001604","Tcea3",1400
"26775","ENSMUSG00000001622","Csn3",4152
"26829","ENSMUSG00000001627","Ifrd1",5858
"26973","ENSMUSG00000001630","Stk38l",4880
"27047","ENSMUSG00000001632","Brpf1",6779
"27280","ENSMUSG00000001642","Akr1b3",8384
"27339","ENSMUSG00000001655","Hoxc13",2461
"27349","ENSMUSG00000001656","Hoxc11",2021
"27359","ENSMUSG00000001657","Hoxc8",2832
"27371","ENSMUSG00000001661","Hoxc6",2408
"27388","ENSMUSG00000001663","Gstt1",1528
"27428","ENSMUSG00000001665","Gstt3",3842
"27486","ENSMUSG00000001666","Ddt",773
"27507","ENSMUSG00000001670","Tat",2405
"27552","ENSMUSG00000001672","Marveld3",3284
"27578","ENSMUSG00000001674","Ddx18",2483
"27629","ENSMUSG00000001687","Ubl3",8098
"27697","ENSMUSG00000001700","Gramd3",5679
"27824","ENSMUSG00000001707","Eef1e1",3257
"27845","ENSMUSG00000001729","Akt1",4098
"27963","ENSMUSG00000001739","Cldn15",2124
"28001","ENSMUSG00000001741","Il16",7865
"28113","ENSMUSG00000001750","Tcirg1",4603
"28383","ENSMUSG00000001751","Naglu",2658
"28411","ENSMUSG00000001755","Coasy",2867
"28471","ENSMUSG00000001761","Smo",5621
"28503","ENSMUSG00000001763","Tspan33",5195
"28551","ENSMUSG00000001767","Crnkl1",3844
"28592","ENSMUSG00000001768","Rin2",11271
"28730","ENSMUSG00000001773","Folh1",3210
"28820","ENSMUSG00000001774","Chordc1",7498
"28940","ENSMUSG00000001783","Rtcb",2615
"28975","ENSMUSG00000001785","Pwp1",2942
"29072","ENSMUSG00000001786","Fbxo7",6180
"29185","ENSMUSG00000001794","Capns1",2477
"29303","ENSMUSG00000001802","Lrp3",4700
"29350","ENSMUSG00000001804","Dsg4",3478
"29388","ENSMUSG00000001815","Evx2",4191
"29409","ENSMUSG00000001819","Hoxd13",2483
"29418","ENSMUSG00000001823","Hoxd12",2534
"29428","ENSMUSG00000001827","Folr1",2297
"29628","ENSMUSG00000001829","Clpb",9960
"29808","ENSMUSG00000001833","Septin7",11631
"29918","ENSMUSG00000001844","Zdhhc4",2864
"30070","ENSMUSG00000001847","Rac1",4496
"30118","ENSMUSG00000001855","Nup214",9659
"30267","ENSMUSG00000001864","Aif1l",4032
"30343","ENSMUSG00000001865","Cpa3",1517
"30376","ENSMUSG00000001870","Ltbp1",10691
"30721","ENSMUSG00000001891","Ugp2",3069
"30780","ENSMUSG00000001901","Kcnh6",3549
"30880","ENSMUSG00000001909","Trmt1",6306
"31262","ENSMUSG00000001910","Nacc1",4673
"31312","ENSMUSG00000001911","Nfix",7351
"31443","ENSMUSG00000001918","Slc1a5",4173
"31504","ENSMUSG00000001924","Uba1",4819
"31644","ENSMUSG00000001930","Vwf",16064
"31900","ENSMUSG00000001942","Siae",10497
"32004","ENSMUSG00000001943","Vsig2",1979
"32073","ENSMUSG00000001946","Esam",2867
"32137","ENSMUSG00000001948","Spa17",1061
"32169","ENSMUSG00000001962","Fam50a",2288
"32216","ENSMUSG00000001964","Emd",2517
"32302","ENSMUSG00000001983","Taco1",1383
"32318","ENSMUSG00000001985","Grik3",8973
"32356","ENSMUSG00000001986","Gria3",9859
"32556","ENSMUSG00000001988","Npas1",3009
"32628","ENSMUSG00000001995","Sipa1l2",9617
"32779","ENSMUSG00000001998","Ap4e1",9810
"32959","ENSMUSG00000001999","Blvra",2446
"33036","ENSMUSG00000002006","Pdzd4",3970
"33075","ENSMUSG00000002007","Srpk3",2784
"33130","ENSMUSG00000002010","Idh3g",2701
"33213","ENSMUSG00000002012","Pnck",1971
"33325","ENSMUSG00000002014","Ssr4",3096
"33387","ENSMUSG00000002015","Bcap31",1219
"33409","ENSMUSG00000002017","Fam98a",3564
"33464","ENSMUSG00000002020","Ltbp2",8184
"33744","ENSMUSG00000002028","Kmt2a",16670
"33993","ENSMUSG00000002031","Ift46",6416
"34207","ENSMUSG00000002032","Tmem25",3212
"34328","ENSMUSG00000002033","Cd3g",3269
"34360","ENSMUSG00000002043","Trappc6a",1589
"34442","ENSMUSG00000002052","Supt6",7095
"34542","ENSMUSG00000002055","Spag5",5624
"34638","ENSMUSG00000002057","Foxn1",3214
"34662","ENSMUSG00000002058","Unc119",2448
"34722","ENSMUSG00000002059","Rab34",2385
"34862","ENSMUSG00000002064","Sdf2",1515
"34881","ENSMUSG00000002068","Ccne1",2662
"34946","ENSMUSG00000002076","Hsf2bp",3589
"35028","ENSMUSG00000002083","Bbc3",2124
"35061","ENSMUSG00000002100","Mybpc3",4163
"35285","ENSMUSG00000002102","Psmc3",2607
"35436","ENSMUSG00000002103","Acp2",5186
"35567","ENSMUSG00000002104","Rapsn",1802
"35631","ENSMUSG00000002105","Slc39a13",4869
"35743","ENSMUSG00000002107","Celf2",25884
"36312","ENSMUSG00000002108","Nr1h3",2515
"36436","ENSMUSG00000002109","Ddb2",2736
"36509","ENSMUSG00000002111","Spi1",2695
"36548","ENSMUSG00000002129","Sf3a1",6147
"36601","ENSMUSG00000002147","Stat6",4402
"36672","ENSMUSG00000002190","Clgn",4025
"36743","ENSMUSG00000002204","Napsa",2660
"36790","ENSMUSG00000002205","Vrk3",6744
"36930","ENSMUSG00000002210","Smg9",3702
"37011","ENSMUSG00000002221","Paxip1",10271
"37098","ENSMUSG00000002222","Rmnd5a",6783
"37149","ENSMUSG00000002227","Mov10",5607
"37407","ENSMUSG00000002228","Ppm1j",1814
"37435","ENSMUSG00000002233","Rhoc",1618
"37510","ENSMUSG00000002240","Prr27",1337
"37543","ENSMUSG00000002249","Tead3",6714
"37696","ENSMUSG00000002250","Ppard",7514
"37794","ENSMUSG00000002257","Def6",2672
"37886","ENSMUSG00000002265","Peg3",13616
"37984","ENSMUSG00000002266","Zim1",8086
"38044","ENSMUSG00000002274","Metrn",3771
"38115","ENSMUSG00000002279","Lmf1",13589
"38252","ENSMUSG00000002280","Ciao3",6223
"38370","ENSMUSG00000002289","Angptl4",3541
"38417","ENSMUSG00000002297","Dbf4",8728
"38534","ENSMUSG00000002307","Daxx",3151
"38624","ENSMUSG00000002308","Cd320",2883
"38663","ENSMUSG00000002319","Ipo4",4669
"38923","ENSMUSG00000002320","Tm9sf1",3880
"39066","ENSMUSG00000002324","Rec8",2935
"39122","ENSMUSG00000002325","Irf9",5386
"39211","ENSMUSG00000002326","Gmpr2",3925
"39273","ENSMUSG00000002329","Mdp1",2032
"39300","ENSMUSG00000002332","Dhrs1",2760
"39340","ENSMUSG00000002341","Ncan",7195
"39376","ENSMUSG00000002342","Tmem161a",3673
"39567","ENSMUSG00000002343","Armc6",3262
"39615","ENSMUSG00000002345","Borcs8",1468
"39689","ENSMUSG00000002346","Slc25a42",5996
"39752","ENSMUSG00000002365","Snx9",3617
"39799","ENSMUSG00000002372","Ranbp3",6960
"39925","ENSMUSG00000002379","Ndufa11",1092
"39968","ENSMUSG00000002384","Bmp8b",3880
"39995","ENSMUSG00000002393","Nr2f6",2983
"40042","ENSMUSG00000002395","Use1",2203
"40162","ENSMUSG00000002396","Ocel1",7133
"40199","ENSMUSG00000002409","Dyrk1b",2695
"40280","ENSMUSG00000002413","Braf",13862
"40379","ENSMUSG00000002416","Ndufb2",5628
"40420","ENSMUSG00000002428","Hltf",5931
"40611","ENSMUSG00000002455","Prpf6",3859
"40728","ENSMUSG00000002458","Rgs19",2230
"40876","ENSMUSG00000002459","Rgs20",4239
"40953","ENSMUSG00000002475","Abhd3",2334
"41039","ENSMUSG00000002477","Snrpd1",2052
"41085","ENSMUSG00000002486","Tchp",7397
"41163","ENSMUSG00000002489","Tiam1",10048
"41434","ENSMUSG00000002496","Tsc2",9620
"42032","ENSMUSG00000002500","Rpl3l",1643
"42089","ENSMUSG00000002504","Slc9a3r2",2646
"42185","ENSMUSG00000002524","Puf60",4748
"42315","ENSMUSG00000002546","Golga2",5500
"42736","ENSMUSG00000002550","Uck1",2751
"42782","ENSMUSG00000002565","Scin",2999
"42853","ENSMUSG00000002578","Ikzf4",6461
"43006","ENSMUSG00000002580","Mien1",747
"43020","ENSMUSG00000002588","Pon1",2898
"43083","ENSMUSG00000002602","Axl",5033
"43215","ENSMUSG00000002603","Tgfb1",5042
"43259","ENSMUSG00000002608","Ccdc97",3939
"43315","ENSMUSG00000002617","Zfp40",4482
"43372","ENSMUSG00000002625","Akap8l",5073
"43558","ENSMUSG00000002633","Shh",2847
"43570","ENSMUSG00000002635","Pdcd2l",1549
"43611","ENSMUSG00000002658","Gtf2f1",1717
"43643","ENSMUSG00000002660","Clpp",1223
"43663","ENSMUSG00000002661","Alkbh7",1029
"43691","ENSMUSG00000002664","Pspn",474
"43700","ENSMUSG00000002668","Dennd1c",5109
"43837","ENSMUSG00000002679","Med6",1447
"43923","ENSMUSG00000002688","Prkd1",3653
"43967","ENSMUSG00000002699","Lcp2",4459
"44069","ENSMUSG00000002718","Cse1l",5273
"44326","ENSMUSG00000002728","Naa20",3705
"44429","ENSMUSG00000002731","Prkra",2028
"44455","ENSMUSG00000002732","Fkbp7",1485
"44488","ENSMUSG00000002733","Plekha3",3126
"44513","ENSMUSG00000002741","Ykt6",2984
"44538","ENSMUSG00000002748","Baz1b",13667
"44594","ENSMUSG00000002763","Pex6",3796
"44662","ENSMUSG00000002767","Mrpl2",1170
"44726","ENSMUSG00000002768","Mea1",1844
"44832","ENSMUSG00000002769","Gnmt",1206
"44858","ENSMUSG00000002771","Grin2d",6658
"44930","ENSMUSG00000002778","Kdelr1",1874
"44983","ENSMUSG00000002781","Tmem143",7518
"45076","ENSMUSG00000002791","Pdxk-ps",3119
"45113","ENSMUSG00000002797","Ggct",7745
"45161","ENSMUSG00000002799","Jag2",6965
"45271","ENSMUSG00000002803","Btbd6",2324
"45364","ENSMUSG00000002804","Nudt14",1587
"45417","ENSMUSG00000002808","Epdr1",2745
"45452","ENSMUSG00000002812","Flii",5039
"45528","ENSMUSG00000002814","Top3a",4599
"45714","ENSMUSG00000002820","Atg4d",7264
"45767","ENSMUSG00000002825","Qtrt1",1973
"45892","ENSMUSG00000002831","Plin4",6350
"45960","ENSMUSG00000002833","Hdgfl2",4876
"46109","ENSMUSG00000002835","Chaf1a",8854
"46170","ENSMUSG00000002844","Adprh",2966
"46187","ENSMUSG00000002845","Tmem39a",4094
"46325","ENSMUSG00000002846","Timmdc1",1784
"46349","ENSMUSG00000002847","Pla1a",2009
"46381","ENSMUSG00000002870","Mcm2",6956
"46452","ENSMUSG00000002871","Tpra1",4171
"46771","ENSMUSG00000002881","Nab1",4100
"46839","ENSMUSG00000002885","Adgre5",3757
"47037","ENSMUSG00000002897","Il17ra",8662
"47092","ENSMUSG00000002900","Lamb1",9917
"47330","ENSMUSG00000002908","Kcnn1",4587
"47485","ENSMUSG00000002910","Arrdc2",3232
"47537","ENSMUSG00000002930","Ppp1r17",1757
"47553","ENSMUSG00000002944","Cd36",3590
"47741","ENSMUSG00000002948","Map2k7",3829
"47957","ENSMUSG00000002949","Timm44",3664
"48040","ENSMUSG00000002957","Ap2a2",5663
"48107","ENSMUSG00000002963","Pnkp",3250
"48456","ENSMUSG00000002968","Med25",7629
"48735","ENSMUSG00000002980","Bcam",3199
"48811","ENSMUSG00000002981","Clptm1",6210
"48901","ENSMUSG00000002983","Relb",3885
"49086","ENSMUSG00000002984","Tomm40",4513
"49155","ENSMUSG00000002985","Apoe",2138
"49267","ENSMUSG00000002992","Apoc2",813
"49309","ENSMUSG00000002996","Hbp1",6167
"49451","ENSMUSG00000002997","Prkar2b",3652
"49535","ENSMUSG00000003031","Cdkn1b",4552
"49569","ENSMUSG00000003032","Klf4",3049
"49599","ENSMUSG00000003033","Ap1m1",3184
"49705","ENSMUSG00000003037","Rab8a",4678
"49739","ENSMUSG00000003038","Hmgn2",3060
"49881","ENSMUSG00000003039","Fam32a",4409
"49899","ENSMUSG00000003051","Elf3",2217
"49950","ENSMUSG00000003053","Cyp2c29",3061
"50020","ENSMUSG00000003062","Stard3nl",5600
"50165","ENSMUSG00000003068","Stk11",4580
"50295","ENSMUSG00000003070","Efna2",2131
"50309","ENSMUSG00000003072","Atp5d",1928
"50354","ENSMUSG00000003099","Ppp5c",3136
"50456","ENSMUSG00000003119","Cdk12",11730
"50570","ENSMUSG00000003123","Lipe",5886
"50699","ENSMUSG00000003131","Pafah1b2",8266
"50806","ENSMUSG00000003134","Tbc1d8",5239
"50948","ENSMUSG00000003135","Cnot11",3508
"51008","ENSMUSG00000003153","Slc2a3",7245
"51116","ENSMUSG00000003154","Foxj2",5346
"51186","ENSMUSG00000003161","Sri",4852
"51253","ENSMUSG00000003166","Dgcr2",6853
"51410","ENSMUSG00000003184","Irf3",3442
"51539","ENSMUSG00000003190","Bcl2l12",1976
"51608","ENSMUSG00000003198","Zfp959",2448
"51640","ENSMUSG00000003199","Mpnd",2305
"51801","ENSMUSG00000003200","Sh3gl1",5012
"51852","ENSMUSG00000003206","Ebi3",1154
"51868","ENSMUSG00000003208","Yju2",4956
"51914","ENSMUSG00000003226","Ranbp2",11728
"51994","ENSMUSG00000003227","Edar",3637
"52024","ENSMUSG00000003228","Grk5",7055
"52081","ENSMUSG00000003233","Dvl3",6410
"52194","ENSMUSG00000003234","Abcf3",3558
"52356","ENSMUSG00000003235","Eif2b5",2595
"52428","ENSMUSG00000003269","Cyth2",3445
"52628","ENSMUSG00000003271","Sult2b1",3950
"52705","ENSMUSG00000003273","Car11",1926
"52760","ENSMUSG00000003279","Dlgap1",17890
"53116","ENSMUSG00000003282","Plag1",8487
"53163","ENSMUSG00000003283","Hck",2092
"53257","ENSMUSG00000003299","Mrpl4",2617
"53383","ENSMUSG00000003308","Keap1",4693
"53470","ENSMUSG00000003309","Ap1m2",3140
