"","gene_id","gene_name","gene_length"
"18734","ENSG00000004948","CALCR",4222
"18896","ENSG00000004961","HCCS",2343
"18954","ENSG00000004975","DVL2",5321
"19132","ENSG00000005001","PRSS22",2384
"19200","ENSG00000005007","UPF1",8934
"19563","ENSG00000005020","SKAP2",5361
"19659","ENSG00000005022","SLC25A5",1555
"19684","ENSG00000005059","MCUB",3555
"19726","ENSG00000005073","HOXA11",2669
"19745","ENSG00000005075","POLR2J",937
"19759","ENSG00000005100","DHX33",5789
"19870","ENSG00000005102","MEOX1",2674
"19904","ENSG00000005108","THSD7A",10915
"19979","ENSG00000005156","LIG3",12901
"20187","ENSG00000005175","RPAP3",5350
"20315","ENSG00000005187","ACSM3",7510
"20502","ENSG00000005189","REXO5",4111
"20862","ENSG00000005194","CIAPIN1",3383
"21073","ENSG00000005206","SPPL2B",7419
"21270","ENSG00000005238","ATOSB",6375
"21438","ENSG00000005243","COPZ2",1866
"21557","ENSG00000005249","PRKAR2B",12581
"21748","ENSG00000005302","MSL3",9780
"22654","ENSG00000005339","CREBBP",15479
"22926","ENSG00000005379","TSPOAP1",11389
"23155","ENSG00000005381","MPO",4427
"23226","ENSG00000005421","PON1",2657
"23281","ENSG00000005436","GCFC2",5462
"23505","ENSG00000005448","WDR54",2852
"23621","ENSG00000005469","CROT",4995
"23770","ENSG00000005471","ABCB4",7728
"24127","ENSG00000005483","KMT2E",13704
"24722","ENSG00000005486","RHBDD2",2390
"24795","ENSG00000005513","SOX8",4470
"24810","ENSG00000005700","IBTK",8719
"25204","ENSG00000005801","ZNF195",11711
"25582","ENSG00000005810","MYCBP2",34127
"27471","ENSG00000005812","FBXL3",7076
"27513","ENSG00000005844","ITGAL",9864
"28021","ENSG00000005882","PDK2",5471
"28222","ENSG00000005884","ITGA3",9802
"28474","ENSG00000005889","ZFX",9037
"28622","ENSG00000005893","LAMP2",10628
"28732","ENSG00000005961","ITGA2B",5695
"28922","ENSG00000005981","ASB4",4606
"28952","ENSG00000006007","GDE1",4390
"29012","ENSG00000006015","REX1BD",3371
"29080","ENSG00000006016","CRLF1",2967
"29146","ENSG00000006025","OSBPL7",6572
"29393","ENSG00000006042","TMEM98",5187
"29522","ENSG00000006047","YBX2",4631
"29589","ENSG00000006059","KRT33A",1303
"29609","ENSG00000006062","MAP3K14",5668
"29762","ENSG00000006071","ABCC8",27254
"34333","ENSG00000006116","CACNG3",1917
"34347","ENSG00000006118","TMEM132A",7274
"34472","ENSG00000006125","AP2B1",7591
"35038","ENSG00000006128","TAC1",1712
"35100","ENSG00000006194","ZNF263",8450
"35202","ENSG00000006210","CX3CL1",5960
"35243","ENSG00000006282","SPATA20",5337
"35718","ENSG00000006283","CACNA1G",10062
"38136","ENSG00000006327","TNFRSF12A",1801
"38209","ENSG00000006377","DLX6",3445
"38234","ENSG00000006432","MAP3K9",12386
"38381","ENSG00000006451","RALA",3579
"38426","ENSG00000006453","BAIAP2L1",4821
"38483","ENSG00000006459","KDM7A",9378
"38561","ENSG00000006468","ETV1",9592
"38942","ENSG00000006530","AGK",10697
"39563","ENSG00000006534","ALDH3B1",6622
"39730","ENSG00000006555","TTC22",6111
"39785","ENSG00000006576","PHTF2",8665
"40097","ENSG00000006606","CCL26",703
"40122","ENSG00000006607","FARP2",14371
"40393","ENSG00000006611","USH1C",4904
"40684","ENSG00000006625","GGCT",1594
"40779","ENSG00000006634","DBF4",4595
"40914","ENSG00000006638","TBXA2R",2827
"40951","ENSG00000006652","IFRD1",7902
"41337","ENSG00000006659","LGALS14",904
"41374","ENSG00000006695","COX10",6756
"41503","ENSG00000006704","GTF2IRD1",6499
"41783","ENSG00000006712","PAF1",2850
"41900","ENSG00000006715","VPS41",7752
"42168","ENSG00000006740","ARHGAP44",9322
"42437","ENSG00000006744","ELAC2",7002
"42884","ENSG00000006747","SCIN",11626
"43052","ENSG00000006756","ARSD",7026
"43124","ENSG00000006757","PNPLA4",3411
"43195","ENSG00000006788","MYH13",6120
"43451","ENSG00000006831","ADIPOR2",5831
"43495","ENSG00000006837","CDKL3",3149
"43693","ENSG00000007001","UPP2",2957
"43746","ENSG00000007038","PRSS21",1967
"43849","ENSG00000007047","MARK4",6656
"44011","ENSG00000007062","PROM1",7457
"44629","ENSG00000007080","CCDC124",1661
"44672","ENSG00000007129","CEACAM21",1977
"44773","ENSG00000007168","PAFAH1B1",13771
"45217","ENSG00000007171","NOS2",6129
"45563","ENSG00000007174","DNAH9",16941
"45972","ENSG00000007202","BLTP2",9232
"46323","ENSG00000007216","SLC13A2",3226
"46466","ENSG00000007237","GAS7",10158
"46819","ENSG00000007255","TRAPPC6A",933
"46888","ENSG00000007264","MATK",4138
"47152","ENSG00000007306","CEACAM7",2653
"47199","ENSG00000007312","CD79B",2125
"47263","ENSG00000007314","SCN4A",8243
"47324","ENSG00000007341","ST7L",8108
"47749","ENSG00000007350","TKTL1",3526
"47862","ENSG00000007372","PAX6",20639
"49512","ENSG00000007376","RPUSD1",2769
"49659","ENSG00000007384","RHBDF1",4914
"49810","ENSG00000007392","LUC7L",6176
"50116","ENSG00000007402","CACNA2D2",6508
"50614","ENSG00000007516","BAIAP3",6109
"51201","ENSG00000007520","TSR3",1210
"51230","ENSG00000007541","PIGQ",7856
"51564","ENSG00000007545","CRAMP1",8596
"51698","ENSG00000007866","TEAD3",3049
"51785","ENSG00000007908","SELE",4586
"51941","ENSG00000007923","DNAJC11",12182
"52319","ENSG00000007933","FMO3",3439
"52385","ENSG00000007944","MYLIP",3072
"52422","ENSG00000007952","NOX1",2543
"52540","ENSG00000007968","E2F2",5462
"52563","ENSG00000008018","PSMB1",2219
"52587","ENSG00000008056","SYN1",3733
"52676","ENSG00000008083","JARID2",6244
"52766","ENSG00000008086","CDKL5",19056
"53098","ENSG00000008118","CAMK1G",3328
"53219","ENSG00000008128","CDK11A",5085
"53667","ENSG00000008130","NADK",5570
"53887","ENSG00000008196","TFAP2B",6155
"53921","ENSG00000008197","TFAP2D",2203
"53950","ENSG00000008226","DLEC1",8338
"54154","ENSG00000008256","CYTH3",5808
"54258","ENSG00000008277","ADAM22",13668
"54888","ENSG00000008282","SYPL1",2909
"55021","ENSG00000008283","CYB561",5296
"55274","ENSG00000008294","SPAG9",11951
"55671","ENSG00000008300","CELSR3",13850
"55765","ENSG00000008311","AASS",10816
"56651","ENSG00000008323","PLEKHG6",4316
"56854","ENSG00000008324","SS18L2",3118
"56882","ENSG00000008382","MPND",2049
"57071","ENSG00000008394","MGST1",7441
"57225","ENSG00000008405","CRY1",4782
"57288","ENSG00000008438","PGLYRP1",708
"57300","ENSG00000008441","NFIX",6486
"57638","ENSG00000008513","ST3GAL1",8852
"57816","ENSG00000008516","MMP25",4745
"57879","ENSG00000008517","IL32",3209
"58420","ENSG00000008710","PKD1",18534
"58987","ENSG00000008735","MAPK8IP2",5793
"59028","ENSG00000008838","MED24",6962
"59694","ENSG00000008853","RHOBTB2",7408
"59834","ENSG00000008869","HEATR5B",8238
"59930","ENSG00000008952","SEC62",7928
"60046","ENSG00000008988","RPS20",6765
"60229","ENSG00000009307","CSDE1",9830
"61966","ENSG00000009335","UBE3C",9215
"62102","ENSG00000009413","REV3L",12425
"62518","ENSG00000009694","TENM1",13547
"62666","ENSG00000009709","PAX7",6473
"62732","ENSG00000009724","MASP2",5113
"63069","ENSG00000009765","IYD",10362
"63199","ENSG00000009780","FAM76A",4046
"63341","ENSG00000009790","TRAF3IP3",7750
"63623","ENSG00000009830","POMT2",13203
"64511","ENSG00000009844","VTA1",7258
"64592","ENSG00000009950","MLXIPL",4815
"64859","ENSG00000009954","BAZ1B",7060
"64952","ENSG00000010017","RANBP9",3618
"64990","ENSG00000010030","ETV7",2374
"65147","ENSG00000010072","SPRTN",5906
"65209","ENSG00000010165","METTL13",3831
"65289","ENSG00000010219","DYRK4",7050
"65489","ENSG00000010244","ZNF207",15818
"65746","ENSG00000010256","UQCRC1",3204
"65861","ENSG00000010270","STARD3NL",4324
"65992","ENSG00000010278","CD9",5829
"66345","ENSG00000010282","HHATL",2888
"66509","ENSG00000010292","NCAPD2",6470
"66748","ENSG00000010295","IFFO1",4945
"66928","ENSG00000010310","GIPR",5069
"67106","ENSG00000010318","PHF7",3364
"67236","ENSG00000010319","SEMA3G",5047
"67308","ENSG00000010322","NISCH",9062
"67532","ENSG00000010327","STAB1",10588
"67763","ENSG00000010361","FUZ",2953
"68048","ENSG00000010379","SLC6A13",4243
"68195","ENSG00000010404","IDS",9294
"68320","ENSG00000010438","PRSS3",1425
"68394","ENSG00000010539","ZNF200",7498
"68502","ENSG00000010610","CD4",4557
"68603","ENSG00000010626","LRRC23",3052
"68805","ENSG00000010671","BTK",7817
"69578","ENSG00000010704","HFE",5675
"69771","ENSG00000010803","SCMH1",4602
"70106","ENSG00000010810","FYN",7411
"70503","ENSG00000010818","HIVEP2",11272
"70692","ENSG00000010932","FMO1",3602
"70817","ENSG00000011007","ELOA",5348
"70888","ENSG00000011009","LYPLA2",2021
"71054","ENSG00000011021","CLCN6",8173
"71317","ENSG00000011028","MRC2",6591
"71460","ENSG00000011052","NME1-NME2",1241
"71524","ENSG00000011083","SLC6A7",4277
"71598","ENSG00000011105","TSPAN9",6905
"71715","ENSG00000011114","BTBD7",11333
"71840","ENSG00000011132","APBA3",5596
"71901","ENSG00000011143","MKS1",11285
"72684","ENSG00000011198","ABHD5",7539
"72931","ENSG00000011201","ANOS1",7082
"72972","ENSG00000011243","AKAP8L",8576
"73753","ENSG00000011258","MBTD1",7184
"73914","ENSG00000011260","UTP18",2703
"74022","ENSG00000011275","RNF216",7576
"74187","ENSG00000011295","TTC19",6054
"74301","ENSG00000011304","PTBP1",7521
"74749","ENSG00000011332","DPF1",4800
"75129","ENSG00000011347","SYT7",7552
"75368","ENSG00000011376","LARS2",12407
"75754","ENSG00000011405","PIK3C2A",9207
"75938","ENSG00000011422","PLAUR",4457
"76116","ENSG00000011426","ANLN",5997
"76346","ENSG00000011451","WIZ",10037
"76573","ENSG00000011454","RABGAP1",7656
"76759","ENSG00000011465","DCN",12941
"76996","ENSG00000011478","QPCTL",2825
"77123","ENSG00000011485","PPP5C",7089
"77280","ENSG00000011523","CEP68",11832
"77687","ENSG00000011566","MAP4K3",6056
"77995","ENSG00000011590","ZBTB32",2739
"78067","ENSG00000011600","TYROBP",907
"78178","ENSG00000011638","LDAF1",2558
"78302","ENSG00000011677","GABRA3",4150
"78358","ENSG00000012048","BRCA1",14160
"79322","ENSG00000012061","ERCC1",5575
"79583","ENSG00000012124","CD22",6165
"79985","ENSG00000012171","SEMA3B",5768
"80283","ENSG00000012174","MBTPS2",8945
"80337","ENSG00000012211","PRICKLE3",3656
"80444","ENSG00000012223","LTF",3989
"80643","ENSG00000012232","EXTL3",16477
"80889","ENSG00000012504","NR1H4",3628
"81120","ENSG00000012660","ELOVL5",3813
"81217","ENSG00000012779","ALOX5",3728
"81299","ENSG00000012817","KDM5D",9463
"81602","ENSG00000012822","CALCOCO1",8898
"81911","ENSG00000012963","UBR7",3509
"82029","ENSG00000012983","MAP4K5",7580
"82329","ENSG00000013016","EHD3",4825
"82347","ENSG00000013275","PSMC4",2550
"82435","ENSG00000013288","MAN2B2",8884
"82567","ENSG00000013293","SLC7A14",10496
"82592","ENSG00000013297","CLDN11",4321
"82632","ENSG00000013306","SLC25A39",3526
"82909","ENSG00000013364","MVP",6141
"83128","ENSG00000013374","NUB1",5338
"83341","ENSG00000013375","PGM3",22007
"84534","ENSG00000013392","RWDD2A",3769
"84546","ENSG00000013441","CLK1",5117
"84729","ENSG00000013503","POLR3B",4768
"84869","ENSG00000013523","ANGEL1",6525
"84946","ENSG00000013561","RNF14",4988
"85172","ENSG00000013563","DNASE1L1",4132
"85368","ENSG00000013573","DDX11",8367
"86001","ENSG00000013583","HEBP1",3428
"86050","ENSG00000013588","GPRC5A",7663
"86096","ENSG00000013619","MAMLD1",6664
"86271","ENSG00000013725","CD6",5958
"86462","ENSG00000013810","TACC3",8825
"86739","ENSG00000014123","UFL1",4539
"86786","ENSG00000014138","POLA2",12006
"87205","ENSG00000014164","ZC3H3",3721
"87242","ENSG00000014216","CAPN1",7506
"87684","ENSG00000014257","ACP3",4284
"87804","ENSG00000014641","MDH1",4990
"88010","ENSG00000014824","SLC30A9",7199
"88113","ENSG00000014914","MTMR11",4572
"88262","ENSG00000014919","COX15",5215
"88312","ENSG00000015133","CCDC88C",12426
"88461","ENSG00000015153","YAF2",10839
"88655","ENSG00000015171","ZMYND11",12925
"89380","ENSG00000015285","WAS",3402
"89543","ENSG00000015413","DPEP1",2737
"89697","ENSG00000015475","BID",4420
"89831","ENSG00000015479","MATR3",12064
"90206","ENSG00000015520","NPC1L1",5267
"90355","ENSG00000015532","XYLT2",5472
"90458","ENSG00000015568","RGPD5",14185
"90683","ENSG00000015592","STMN4",3309
"90796","ENSG00000015676","NUDCD3",9893
"90857","ENSG00000016082","ISL1",2817
"90896","ENSG00000016391","CHDH",7787
"90938","ENSG00000016402","IL20RA",4730
"91045","ENSG00000016490","CLCA1",3310
"91114","ENSG00000016602","CLCA4",3447
"91151","ENSG00000016864","GLT8D1",3785
"91360","ENSG00000017260","ATP2C1",8510
"92278","ENSG00000017427","IGF1",8115
"92368","ENSG00000017483","SLC38A5",4017
"92636","ENSG00000017797","RALBP1",8041
"92727","ENSG00000018189","RUFY3",9405
"92966","ENSG00000018236","CNTN1",7649
"93264","ENSG00000018280","SLC11A1",8676
"93484","ENSG00000018408","WWTR1",8353
"93622","ENSG00000018510","AGPS",15223
"94419","ENSG00000018607","ZNF285CP",1774
"94424","ENSG00000018610","STEEP1",2581
"94484","ENSG00000018625","ATP1A2",6298
"94659","ENSG00000018699","TTC27",3443
"94817","ENSG00000018869","ZNF582",3341
"94901","ENSG00000019102","VSIG2",1447
"94938","ENSG00000019144","PHLDB1",21691
"95377","ENSG00000019169","MARCO",2051
"95431","ENSG00000019186","CYP24A1",3988
"95522","ENSG00000019485","PRDM11",13976
"95626","ENSG00000019505","SYT13",5445
"95672","ENSG00000019549","SNAI2",3281
"95696","ENSG00000019582","CD74",4526
"95851","ENSG00000019991","HGF",9753
"96060","ENSG00000019995","ZRANB1",5993
"96088","ENSG00000020129","NCDN",4917
"96173","ENSG00000020181","ADGRA2",7084
"96267","ENSG00000020219","CCT8L1P",1674
"96270","ENSG00000020256","ZFP64",6790
"96436","ENSG00000020426","MNAT1",3877
"96524","ENSG00000020577","SAMD4A",12333
"96706","ENSG00000020633","RUNX3",4922
"96768","ENSG00000020922","MRE11",7674
"97009","ENSG00000021300","PLEKHB1",4933
"97302","ENSG00000021355","SERPINB1",3047
"97344","ENSG00000021461","CYP3A43",2628
"97627","ENSG00000021488","SLC7A9",2598
"97771","ENSG00000021574","SPAST",9488
"98370","ENSG00000021645","NRXN3",15534
"98764","ENSG00000021762","OSBPL5",7473
"99142","ENSG00000021776","AQR",13431
"99318","ENSG00000021826","CPS1",11018
"99920","ENSG00000021852","C8B",3931
"100187","ENSG00000022267","FHL1",5862
"100701","ENSG00000022277","RTF2",4063
"100820","ENSG00000022355","GABRA1",8420
"101199","ENSG00000022556","NLRP2",6313
"101547","ENSG00000022567","SLC45A4",8608
"101634","ENSG00000022840","RNF10",5900
"101911","ENSG00000022976","ZNF839",5595
"102086","ENSG00000023041","ZDHHC6",9250
"102597","ENSG00000023171","GRAMD1B",14932
"103056","ENSG00000023191","RNH1",7374
"103427","ENSG00000023228","NDUFS1",12174
"103749","ENSG00000023287","RB1CC1",7613
"103943","ENSG00000023318","ERP44",14212
"104277","ENSG00000023330","ALAS1",2536
"104405","ENSG00000023445","BIRC3",7518
"104556","ENSG00000023516","AKAP11",9915
"104588","ENSG00000023572","GLRX2",6210
"104635","ENSG00000023608","SNAPC1",2593
"104661","ENSG00000023697","DERA",2813
"104830","ENSG00000023734","STRAP",2215
"104921","ENSG00000023839","ABCC2",7837
"105113","ENSG00000023892","DEF6",5066
"105233","ENSG00000023902","PLEKHO1",6629
"105294","ENSG00000023909","GCLM",5426
"105341","ENSG00000024048","UBR2",8874
"105569","ENSG00000024422","EHD2",3844
"105618","ENSG00000024526","DEPDC1",5904
"105722","ENSG00000024862","CCDC28A",1247
"105740","ENSG00000025039","RRAGD",5095
"105783","ENSG00000025156","HSF2",2697
"105855","ENSG00000025293","PHF20",8372
"106035","ENSG00000025423","HSD17B6",2272
"106146","ENSG00000025434","NR1H3",4534
"106560","ENSG00000025708","TYMP",3600
"106800","ENSG00000025770","NCAPH2",4459
"107047","ENSG00000025772","TOMM34",1973
"107067","ENSG00000025796","SEC63",8606
"107180","ENSG00000025800","KPNA6",7457
"107276","ENSG00000026025","VIM",5176
"107393","ENSG00000026036","RTEL1-TNFRSF6B",9093
"107523","ENSG00000026103","FAS",29313
"108370","ENSG00000026297","RNASET2",19532
"108676","ENSG00000026508","CD44",9992
"109181","ENSG00000026559","KCNG1",5415
"109234","ENSG00000026652","AGPAT4",14253
"109321","ENSG00000026751","SLAMF7",4833
"109464","ENSG00000026950","BTN3A1",5539
"109618","ENSG00000027001","MIPEP",3388
"109681","ENSG00000027075","PRKCH",8947
"109967","ENSG00000027644","INSRR",5200
"110017","ENSG00000027697","IFNGR1",3549
"110366","ENSG00000027847","B4GALT7",4878
"110440","ENSG00000027869","SH2D2A",2498
"110523","ENSG00000028116","VRK2",3531
"110790","ENSG00000028137","TNFRSF1B",3778
"110844","ENSG00000028203","VEZT",8766
"111397","ENSG00000028277","POU2F2",9072
"111866","ENSG00000028310","BRD9",9549
"112223","ENSG00000028528","SNX1",9789
"112488","ENSG00000028839","TBPL1",5039
"112587","ENSG00000029153","BMAL2",7001
"112875","ENSG00000029363","BCLAF1",9533
"113329","ENSG00000029364","SLC39A9",7138
"113473","ENSG00000029534","ANK1",10996
"114125","ENSG00000029559","IBSP",1573
"114145","ENSG00000029639","TFB1M",4111
"114200","ENSG00000029725","RABEP1",7059
"114330","ENSG00000029993","HMGB3",3914
"114396","ENSG00000030066","NUP160",8576
"114761","ENSG00000030110","BAK1",2212
"114798","ENSG00000030304","MUSK",9176
"114922","ENSG00000030419","IKZF2",12243
"115172","ENSG00000030582","GRN",3524
"115462","ENSG00000031003","FAM13B",6808
"115735","ENSG00000031081","ARHGAP31",9374
"115780","ENSG00000031691","CENPQ",1741
"115804","ENSG00000031698","SARS1",3849
"115876","ENSG00000031823","RANBP3",7445
"116374","ENSG00000032219","ARID4A",7449
"116667","ENSG00000032389","EIPR1",5723
"116847","ENSG00000032444","PNPLA6",7161
"117403","ENSG00000032742","IFT88",6049
"117578","ENSG00000033011","ALG1",10637
"118162","ENSG00000033030","ZCCHC8",9125
"118361","ENSG00000033050","ABCF2",5158
"118435","ENSG00000033100","CHPF2",6498
"118555","ENSG00000033122","LRRC7",30043
"118852","ENSG00000033170","FUT8",6976
"119111","ENSG00000033178","UBA6",11408
"119262","ENSG00000033327","GAB2",6775
"119344","ENSG00000033627","ATP6V0A1",12938
"120712","ENSG00000033800","PIAS1",10647
"120836","ENSG00000033867","SLC4A7",9616
"121604","ENSG00000034053","APBA2",6869
"121882","ENSG00000034152","MAP2K3",3775
"122147","ENSG00000034239","CLXN",5822
"122253","ENSG00000034510","TMSB10",461
"122265","ENSG00000034533","ASTE1",3427
"122368","ENSG00000034677","RNF19A",5852
"122504","ENSG00000034693","PEX3",2830
"122554","ENSG00000034713","GABARAPL2",3010
"122605","ENSG00000034971","MYOC",2104
"122630","ENSG00000035115","SH3YL1",11132
"123016","ENSG00000035141","FAM136A",3062
"123068","ENSG00000035403","VCL",9992
"123249","ENSG00000035499","DEPDC1B",3806
"123348","ENSG00000035664","DAPK2",13661
"123546","ENSG00000035681","NSMAF",6170
"123873","ENSG00000035687","ADSS2",3441
"123916","ENSG00000035720","STAP1",1951
"123965","ENSG00000035862","TIMP2",6209
"124072","ENSG00000035928","RFC1",6713
"124289","ENSG00000036054","TBC1D23",5176
"124472","ENSG00000036257","CUL3",11505
"124687","ENSG00000036448","MYOM2",7056
"124898","ENSG00000036473","OTC",1683
"124958","ENSG00000036530","CYP46A1",9358
"125097","ENSG00000036549","ZZZ3",9008
"125236","ENSG00000036565","SLC18A1",3910
"125521","ENSG00000036672","USP2",4523
"125639","ENSG00000036828","CASR",12020
"125719","ENSG00000037042","TUBG2",2793
"125760","ENSG00000037241","RPL26L1",1164
"125829","ENSG00000037280","FLT4",8852
"126164","ENSG00000037474","NSUN2",5506
"126335","ENSG00000037637","FBXO42",9009
"126385","ENSG00000037749","MFAP3",10159
"126501","ENSG00000037757","MRI1",3466
"126555","ENSG00000037897","METTL1",1947
"126639","ENSG00000037965","HOXC8",2417
"126649","ENSG00000038002","AGA",2605
"126710","ENSG00000038210","PI4K2B",3685
"126761","ENSG00000038219","BOD1L1",15862
"126911","ENSG00000038274","MAT2B",8700
"127322","ENSG00000038295","TLL1",8105
"127517","ENSG00000038358","EDC4",6140
"127723","ENSG00000038382","TRIO",19917
"128459","ENSG00000038427","VCAN",14678
"128685","ENSG00000038532","CLEC16A",12548
"128936","ENSG00000038945","MSR1",7812
"129134","ENSG00000039068","CDH1",6076
"129327","ENSG00000039123","MTREX",6347
"129493","ENSG00000039139","DNAH5",24848
"129936","ENSG00000039319","ZFYVE16",15490
"130153","ENSG00000039523","RIPOR1",6729
"130602","ENSG00000039537","C6",6900
"130755","ENSG00000039560","RAI14",7581
"131270","ENSG00000039600","SOX30",3489
"131316","ENSG00000039650","PNKP",4545
"131783","ENSG00000039987","BEST2",2646
"131863","ENSG00000040199","PHLPP2",12493
"132057","ENSG00000040275","SPDL1",4775
"132261","ENSG00000040341","STAU2",8964
"132742","ENSG00000040487","SLC66A1",2686
"132863","ENSG00000040531","CTNS",4949
"133110","ENSG00000040608","RTN4R",3126
"133144","ENSG00000040633","PHF23",2733
"133294","ENSG00000040731","CDH10",3660
"133361","ENSG00000040933","INPP4A",13556
"133684","ENSG00000041353","RAB27B",7154
"133731","ENSG00000041357","PSMA4",6994
"134018","ENSG00000041515","MYO16",8816
"134256","ENSG00000041802","LSG1",4801
"134343","ENSG00000041880","PARP3",3198
"134496","ENSG00000041982","TNC",9589
"134959","ENSG00000041988","THAP3",4067
"135044","ENSG00000042062","RIPOR3",6023
"135174","ENSG00000042088","TDP1",6223
"135547","ENSG00000042286","AIFM2",5135
"135622","ENSG00000042304","C2orf83",1139
"135628","ENSG00000042317","SPATA7",6872
"135978","ENSG00000042429","MED17",16610
"136467","ENSG00000042445","RETSAT",4049
"136563","ENSG00000042493","CAPG",2419
"136775","ENSG00000042753","AP2S1",1558
"136883","ENSG00000042781","USH2A",20633
"137239","ENSG00000042813","ZPBP",2625
"137314","ENSG00000042832","TG",11132
"137705","ENSG00000042980","ADAM28",9381
"137979","ENSG00000043039","BARX2",3752
"137995","ENSG00000043093","DCUN1D1",8307
"138126","ENSG00000043143","JADE2",11091
"138488","ENSG00000043355","ZIC2",3290
"138514","ENSG00000043462","LCP2",6823
"138642","ENSG00000043514","TRIT1",6533
"138921","ENSG00000043591","ADRB1",3039
"138929","ENSG00000044012","GUCA2B",604
"138941","ENSG00000044090","CUL7",7873
"139552","ENSG00000044115","CTNNA1",8830
"140155","ENSG00000044446","PHKA2",8547
"140263","ENSG00000044459","CNTLN",11064
"140350","ENSG00000044524","EPHA3",6577
"140448","ENSG00000044574","HSPA5",6530
"140598","ENSG00000046604","DSG2",9492
"140719","ENSG00000046647","GEMIN8",4001
"140794","ENSG00000046651","OFD1",15550
"141528","ENSG00000046653","GPM6B",5767
"141696","ENSG00000046774","MAGEC2",1994
"141708","ENSG00000046889","PREX2",12132
"141854","ENSG00000047056","WDR37",8029
"142273","ENSG00000047188","YTHDC2",10805
"142438","ENSG00000047230","CTPS2",5531
"142584","ENSG00000047249","ATP6V1H",5104
"142840","ENSG00000047315","POLR2B",5891
"143120","ENSG00000047346","ATOSA",9848
"143372","ENSG00000047365","ARAP2",12427
"143501","ENSG00000047410","TPR",12350
"143703","ENSG00000047457","CP",7072
"143909","ENSG00000047578","KATNIP",9759
"144048","ENSG00000047579","DTNBP1",3046
"144285","ENSG00000047597","XK",5174
"144297","ENSG00000047617","ANO2",6064
"144581","ENSG00000047621","C12orf4",4932
"144726","ENSG00000047634","SCML1",5497
"144825","ENSG00000047644","WWC3",7416
"144882","ENSG00000047648","ARHGAP6",8893
"145116","ENSG00000047662","FAM184B",6731
"145158","ENSG00000047849","MAP4",14994
"145496","ENSG00000047932","GOPC",4628
"145562","ENSG00000047936","ROS1",8890
"145756","ENSG00000048028","USP28",5793
"146224","ENSG00000048052","HDAC9",17284
"147025","ENSG00000048140","TSPAN17",5215
"147195","ENSG00000048162","NOP16",2806
"147295","ENSG00000048342","CC2D2A",14588
"148173","ENSG00000048392","RRM2B",5391
